timestamp,sys1_cpu,sys1_memory,sys2_cpu,sys2_memory,sys3_cpu,sys3_memory,sys4_cpu,sys4_memory
1789244553.3653233,0,11.55,1.74,11.54,2.63,11.54,1.35,11.54
1789244554.5229259,10.13,11.58,3.26,11.57,3.39,11.57,3.14,11.57
1789244555.5789192,10.96,11.59,2.74,11.58,3.23,11.58,2.49,11.58
1789244556.6115322,10.25,11.58,3.56,11.59,3.85,11.59,3.5,11.59
1789244557.6472,10.03,11.59,2.53,11.59,3.19,11.59,2.34,11.59
1789244558.6766038,8.42,11.59,3.29,11.59,3.02,11.59,3.31,11.59
1789244559.718323,8.15,11.59,2.82,11.59,3.27,11.59,2.34,11.59
1789244560.7665792,8.24,11.59,3.12,11.59,2.7,11.59,3.13,11.59
1789244561.8065524,10.09,11.59,2.51,11.59,3.09,11.59,3.2,11.59
1789244562.840376,9.26,11.59,2.73,11.59,3,11.59,2.37,11.59
1789244563.8831377,10.08,11.59,3.94,11.59,2.97,11.59,4.01,11.59
1789244564.9308045,11.2,11.59,2.85,11.59,3.23,11.59,2.3,11.59
1789244565.983056,8.71,11.59,3.04,11.58,2.09,11.58,3.22,11.58
1789244567.0168095,10.08,11.59,3.25,11.59,3.58,11.59,2.75,11.59
1789244568.0457704,8.84,11.6,3.16,11.59,2.24,11.59,3.38,11.59
1789244569.0863173,9.78,11.59,2.81,11.59,2.07,11.59,2.33,11.59
1789244570.1311598,8.35,11.59,3.31,11.59,3.27,11.59,3.34,11.59
1789244571.1726775,10.04,11.59,2.95,11.59,3.17,11.59,2.49,11.59
1789244572.2170913,9.93,11.59,3.24,11.59,3.09,11.59,3.1,11.59
1789244573.2752297,8.68,11.59,3.38,11.59,2.53,11.59,2.93,11.59
1789244574.3037803,9.28,11.59,3.8,11.6,3.52,11.6,3.71,11.6
1789244575.3344898,9.69,11.6,3.09,11.6,2.41,11.6,2.74,11.6
1789244576.3791726,9.1,11.6,3.39,11.6,2.04,11.6,3.48,11.6
1789244577.4149234,9.71,11.6,2.97,11.6,2.01,11.6,2.39,11.6
1789244578.4471622,7.87,11.6,3.18,11.6,3.07,11.6,3.19,11.6
1789244579.4792423,9.57,11.6,2.87,11.6,1.94,11.6,2.36,11.6
1789244580.5130172,7.91,11.6,3.29,11.6,3.23,11.6,3.29,11.6
1789244581.558601,9.69,11.59,3.15,11.6,2.23,11.6,2.73,11.6
1789244582.595733,9.27,11.59,3.86,11.59,3.87,11.59,3.98,11.59
1789244583.6346126,10.66,11.6,2.87,11.6,2.19,11.6,2.49,11.6
1789244584.6635194,9.83,11.6,3.38,11.6,3.42,11.6,3.36,11.6
1789244585.7014775,10.11,11.59,3.16,11.6,2.55,11.6,2.91,11.6
1789244586.734299,8.6,11.6,3.49,11.6,3.88,11.6,3.78,11.6
1789244587.7692356,9.29,11.6,3.12,11.6,2.77,11.6,3.07,11.6
1789244588.8025572,8.54,11.59,3.09,11.6,3.25,11.6,2.76,11.59
1789244589.836087,8.31,11.59,3.37,11.59,3.12,11.59,3.36,11.59
1789244590.8867111,8.47,11.6,3.15,11.59,2.36,11.59,2.86,11.59
1789244591.931151,9.42,11.6,3.85,11.6,3.52,11.6,3.69,11.6
1789244592.974821,10.41,11.6,3.33,11.6,2.79,11.6,3.13,11.6
1789244594.0072548,12.48,11.59,3.33,11.59,3.71,11.59,3.72,11.59
1789244595.0403721,10.58,11.59,3.42,11.59,3.06,11.59,3.39,11.59
1789244596.075355,8.28,11.6,3.14,11.59,3.37,11.59,3.37,11.59
1789244597.1267076,11.46,11.6,3.59,11.6,3.11,11.6,3.28,11.6
1789244598.1591997,9.68,11.6,3.17,11.6,3.34,11.6,3.36,11.6
1789244599.2000148,10.87,11.6,3.29,11.59,3.08,11.59,3.04,11.59
1789244600.2462015,10.62,11.6,3.88,11.6,4.08,11.6,4.15,11.6
1789244601.2853665,11.5,11.59,3.55,11.6,3.36,11.6,3.47,11.6
1789244602.3192136,9.4,11.6,3.08,11.59,3.36,11.59,3.25,11.59
1789244603.351301,11.07,11.6,3.71,11.6,3.58,11.6,3.66,11.6
1789244604.3901062,10.11,11.59,3.71,11.6,4.04,11.6,4.1,11.6
1789244605.4282074,11.48,11.6,3.81,11.6,3.5,11.6,3.55,11.6
1789244606.460752,10.22,11.6,3.28,11.6,3.76,11.6,3.72,11.6
1789244607.5156684,11.63,11.6,3.57,11.6,3.23,11.6,3.33,11.6
1789244608.5699792,9.75,11.59,3.29,11.6,3.7,11.6,3.59,11.6
1789244609.6154318,11.36,11.6,3.42,11.59,3.21,11.59,3.3,11.59
1789244610.6455185,10.32,11.6,3.94,11.6,3.86,11.6,3.91,11.6
1789244611.6843817,10.58,11.6,3.17,11.6,3.03,11.6,3.09,11.6
1789244612.7281816,9.43,11.6,3.13,11.6,3.35,11.6,3.34,11.6
